name,chain,lat,lon,address,source_url
CIRCLE K JØRPELAND,Circle K,59.021877,6.035175,"Nedre Barkvedvegen 17, 4100, Jørpeland",https://www.circlek.no/station/52075
CIRCLE K ELVEBAKKEN,Circle K,69.973694,23.36567,"Altaveien 261, 9515, Alta",https://www.circlek.no/station/52695
CIRCLE K AUTOMAT HALDEN,Circle K,59.12067,11.390664,"Kirkebakken 8-10, 1767, Halden",https://www.circlek.no/station/51201
CIRCLE K SETERMOEN,Circle K,68.863396,18.345873,"Fogd Holmboes gate 52, 9360, Bardu",https://www.circlek.no/station/52712
CIRCLE K SÆVELANDSVIK,Circle K,59.269283,5.201284,"Nylandvegen 1, 4275, Sævelandsvik",https://www.circlek.no/station/51996
CIRCLE K AUTOMAT BREKKEN,Circle K,62.646275,11.866314,"Mellomriksveien 1, 7370, Brekkebygd",https://www.circlek.no/station/52575
CIRCLE K HAUKELI,Circle K,59.736949,7.563892,"Storegutvegen 256, 3895, Edland",https://www.circlek.no/station/55652
Bunker Oil Skåbu,Bunker Oil,61.523989,9.406,"Skåbuvegen, 2643, Skåbu",https://bunkeroil.no/en/map-petrol-stations
CIRCLE K AUTOMAT SNÅSA,Circle K,64.24631,12.387504,"Øverbygdveien 22, 7760, Snåsa",https://www.circlek.no/station/52592
CIRCLE K AUTOMAT AURLAND,Circle K,60.898808,7.210915,"Skulevegen 58, 5745, Aurland",https://www.circlek.no/station/57055
CIRCLE K AUTOMAT HOMMELSTØ,Circle K,65.40359,12.547688,"Rugåshylla 3, 8960, Velfjord",https://www.circlek.no/station/52411
YX Birtavarre (automat),YX,69.4943,20.829,"Stiger Pettersens veg 1, 9147 BIRTAVARRE",https://www.yx.no/stasjon/yx-birtavarre-automat-10400883
CIRCLE K AUTOMAT BÅTSFJORD,Circle K,70.62991,29.705257,"Valen 3, 9990, Båtsfjord",https://www.circlek.no/station/52723
Uno-X Hammerfest,Uno-X,70.65241355469725,23.66255789995194,"Storsvingen 4, 9610, Rypefjord",https://unox.no/finn-uno-x/lokasjon/10500742
